Completed,Crowdsourcing_Code,Crowdsourcing_SubjId,End_Time,End_Time_Local,Exp_Subject_Id,Group_Name,Group_Nr,Rec_Session_Id,SelectedLanguage,Session_Name,Session_Nr,Session_Token,Start_Time,Start_Time_Local,Subject_Code,Subject_Nr,Subject_Nr_Per_Group,TimeMeasure_Mean,TimeMeasure_Std
true,3230eb67da606c42ceb02e3b509102d6,610548d23491a869e32d103e,2022-12-06T17:28:23.059Z,2022-12-06 18:28:23+01,546957,nopints_nns,3,623292,de,nopints_nns,1,2edfa302c5e150c7c8373b04a93167fb,2022-12-06T17:13:25.266Z,2022-12-06 18:13:13+01,"",1,1,1.4593023255813904,1.168170693462374
true,aab2683bdde46e91e2b02c4cde5b11b0,5f97b888f0dac318d718eada,2022-12-06T17:34:41.256Z,2022-12-06 18:34:41+01,546963,sil_nns,2,623298,de,sil_nns,1,886bcfda28d54a41efaabaf95337b2c1,2022-12-06T17:18:44.324Z,2022-12-06 18:18:31+01,"",2,1,7.342245989304814,4.165106040008587
true,cd3834a338f202a0beb7bc2d041dffa6,5eee61509e63ac300a199f84,2022-12-06T17:38:40.406Z,2022-12-06 18:38:40+01,546966,orig_nns,1,623301,de,orig_nns,1,87933289b2a1126b5eed02f98be2b907,2022-12-06T17:20:44.923Z,2022-12-06 18:19:45+01,"",3,1,4.686170212765958,4.094939821443093
true,976a815c53995bab54f300593a61aae1,614f18c401f0591601029297,2022-12-06T17:42:16.317Z,2022-12-06 18:42:16+01,546968,orig_nns,1,623303,de,orig_nns,1,6908f0026afb890846d4593a0e851ecd,2022-12-06T17:23:18.227Z,2022-12-06 18:22:52+01,"",4,2,9.562790697674416,4.029485699528434
true,a109c5be4516cd6770e9159156a6e695,5d549b0a9b7c4e00018879b4,2022-12-06T17:49:55.911Z,2022-12-06 17:49:55+00,546993,nopints_nns,3,623329,de,nopints_nns,1,1ff2fcba4f56ac4c352ac09a4a1aba80,2022-12-06T17:34:34.530Z,2022-12-06 17:34:27+00,"",7,3,3.584905660377359,2.218566273937911
true,f657edf67d25a4007835c65c92cb7e79,637f802c6c855bbe572b2a14,2022-12-06T17:54:54.623Z,2022-12-06 18:54:54+01,547001,orig_nns,1,623338,de,orig_nns,1,3cfeaa6db588df30c7d7b57fcef7dacf,2022-12-06T17:38:11.020Z,2022-12-06 18:37:57+01,"",8,3,3.994974874371863,0.8768232257518908
true,1116cf8e9b54b1167b8cb7f6a2d992b5,61556af8fbf2d45647dde624,2022-12-06T17:56:09.455Z,2022-12-06 18:56:09+01,547005,sil_nns,2,623342,de,sil_nns,1,420d78badc7ecb0ef697dd22b2e58d4c,2022-12-06T17:40:36.167Z,2022-12-06 18:40:01+01,"",9,3,520.9085365853658,440.84231755982404
true,f15b3194e199f64245c3535fcb808f55,637e8c902fec18b5cb969c4e,2022-12-06T17:55:53.491Z,2022-12-06 18:55:53+01,547006,nopints_nns,3,623343,de,nopints_nns,1,1bd0f91e3ca73dd4ea1a0f550e39b3ca,2022-12-06T17:40:45.702Z,2022-12-06 18:40:30+01,"",10,4,8.770114942528735,1.3191877457842385
true,9d90491c818b40874043a4651c9d7d9e,58a20857c5bcf000011b09ff,2022-12-06T18:02:09.472Z,2022-12-06 19:02:09+01,547013,orig_nns,1,623350,de,orig_nns,1,de1ccb16c500644302fb80d9704fc2f0,2022-12-06T17:43:45.259Z,2022-12-06 18:43:04+01,"",11,4,4.235849056603769,1.8328855834780713
true,43dab87768a88106d983b6ae40eb0973,60acb1d0fcec4536b658dacb,2022-12-06T17:44:21.630Z,2022-12-06 18:44:21+01,546982,nopints_nns,3,623318,de,nopints_nns,1,d3d44675c81b1bd08c336284513dad96,2022-12-06T17:32:02.991Z,2022-12-06 18:31:51+01,"",5,2,446.01503759398497,436.8122045336074
true,c34490acd85554c92bf19490c471180d,61099eb88602307cf898fa00,2022-12-06T18:00:21.911Z,2022-12-06 19:00:21+01,547018,sil_nns,2,623355,de,sil_nns,1,37da034181d9a785d288f2ea94c14743,2022-12-06T17:44:40.081Z,2022-12-06 18:44:24+01,"",12,4,1.5367231638418133,1.2888292314222713
true,5080a4fcfa27bb7a459c296466e0fb95,615572313c3a6169680520dc,2022-12-06T18:03:18.931Z,2022-12-06 19:03:18+01,547020,orig_nns,1,623357,de,orig_nns,1,b036e4b2de7f799c78d30f88d87f1cfb,2022-12-06T17:45:40.280Z,2022-12-06 18:45:06+01,"",13,5,8.84210526315789,1.2936900113160796
