Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
623292,1,1,nopints_nns,1,instructions,1,"","",1,"","","","","","","","","","",610548d23491a869e32d103e,"","","","",""
623292,1,4,nopints_nns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",3,4,"","",""
623292,2,2,nopints_nns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
623292,3,1,nopints_nns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
623292,4,3,nopints_nns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",2,4,"","",""
623292,1,1,nopints_nns,1,questionnaire,3,28,"",1,"","",5,uni,"",no,5,ger,no,5,"","","","",adv,c1
623292,1,1,nopints_nns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
623298,1,1,sil_nns,1,instructions,1,"","",1,"","","","","","","","","","",5f97b888f0dac318d718eada,"","","","",""
623298,1,4,sil_nns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",4,4,"","",""
623298,2,2,sil_nns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,2,"","",""
623298,3,1,sil_nns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",2,1,"","",""
623298,4,3,sil_nns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
623298,1,1,sil_nns,1,questionnaire,3,34,"",1,"","",3,uni,"",no,1,ger,no,1,"","","","",adv,c1
623298,1,1,sil_nns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
623301,1,1,original_nns,1,instructions,1,"","",1,"","","","","","","","","","",5eee61509e63ac300a199f84,"","","","",""
623301,1,3,original_nns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",2,4,"","",""
623301,2,4,original_nns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",1,4,"","",""
623301,3,1,original_nns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",2,1,"","",""
623301,4,2,original_nns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,3,"","",""
623301,1,1,original_nns,1,questionnaire,3,38,"",1,"","",1,hs,"",no,1,ger,no,1,"","","","",beg,none
623301,1,1,original_nns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
623303,1,1,original_nns,1,instructions,1,"","",1,"","","","","","","","","","",614f18c401f0591601029297,"","","","",""
623303,1,4,original_nns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
623303,2,2,original_nns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",4,2,"","",""
623303,3,1,original_nns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",2,1,"","",""
623303,4,3,original_nns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",1,4,"","",""
623303,1,1,original_nns,1,questionnaire,3,58,"",1,"","",4,hs,"",no,3,ger,no,5,"","","","",adv,c2
623303,1,1,original_nns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
623329,1,3,nopints_nns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",2,4,"","",""
