Completed,Crowdsourcing_Code,Crowdsourcing_SubjId,End_Time,End_Time_Local,Exp_Subject_Id,Group_Name,Group_Nr,Rec_Session_Id,SelectedLanguage,Session_Name,Session_Nr,Session_Token,Start_Time,Start_Time_Local,Subject_Code,Subject_Nr,Subject_Nr_Per_Group,TimeMeasure_Mean,TimeMeasure_Std
true,9be665dd0cab6b5ab9c55cf2549e88fe,60d9ce9737af4d27b6640d37,2022-12-07T14:50:18.399Z,2022-12-07 14:50:18+00,548223,group_2,2,624868,en,sil_ns,1,adb21e77eb344a773a6fa4e033658a45,2022-12-07T14:33:25.995Z,2022-12-07 14:33:08+00,"",1,1,3.147208121827404,2.1071921371527087
true,5b74ae9af68fb13720e6bbbe25129022,6123f0e37bc1548cd95a301f,2022-12-07T14:47:56.803Z,2022-12-07 14:47:56+00,548225,group_3,3,624871,en,nopints_ns,1,1ba62b2dfd878e75da1f2db2abde851f,2022-12-07T14:35:28.921Z,2022-12-07 14:35:11+00,"",2,1,1.072463768115938,0.6877571314611396
true,4ba59641e36ab4e0a99b1b727d9a6c3a,"",2022-12-07T14:59:29.196Z,2022-12-07 16:59:29+02,548230,group_1,1,624876,en,orig_ns,1,618046789e47af87d1f67fc954c5e51b,2022-12-07T14:38:25.825Z,2022-12-07 16:37:41+02,"",3,1,3.3278688524590194,2.4088042845281126
true,2613d9e13bbfd50af61f031bb889af66,593890eac6aa16000101f037,2022-12-07T14:55:50.319Z,2022-12-07 08:55:50-06,548231,group_1,1,624877,en,orig_ns,1,9f22aec12f221f9ab71737d6bc35e184,2022-12-07T14:39:18.045Z,2022-12-07 08:39:08-06,"",4,2,3.644067796610173,2.227938003360067
true,be09ccba2f021fd74bc1d2521c8148bc,605cd2aefa163d506547bb2d,2022-12-07T14:59:56.327Z,2022-12-07 16:59:56+02,548232,group_2,2,624878,en,sil_ns,1,0fd8b52928b95c7f8de52dbdde60a3da,2022-12-07T14:39:22.000Z,2022-12-07 16:37:02+02,"",5,2,4.017777777777781,1.918250231491524
true,7214281ec31e1a1fe22a0e11c6ca8272,634850256fe8666bf380893b,2022-12-07T15:00:10.087Z,2022-12-07 15:00:10+00,548235,group_1,1,624881,en,orig_ns,1,ac9d1d32d69c7761009ab817bb55a867,2022-12-07T14:41:41.229Z,2022-12-07 14:41:22+00,"",6,3,5.714285714285708,60.76875987603134
true,4df6f5051e3183f6ce61dc9dba047d5c,631f9323bf10815aac6f8818,2022-12-07T15:03:01.176Z,2022-12-07 15:03:01+00,548246,group_1,1,624892,en,orig_ns,1,e5737ee08c06a3dabe3394fdccf21129,2022-12-07T14:46:05.775Z,2022-12-07 14:44:06+00,"",7,4,7.2222222222222285,7.666081078499783
true,51e5a70658c6d6c2a66a31e895cc675f,5dc1719878cda00c6dcf5c1e,2022-12-07T15:29:37.760Z,2022-12-07 15:29:37+00,548293,group_3,3,624942,en,nopints_ns,1,c056689d66c191619bbebf99fdf5e02e,2022-12-07T15:14:39.692Z,2022-12-07 15:14:23+00,"",8,2,4.277108433734938,7.438605344429145
true,9b7a67deb687f7ff802be28bd47b4226,5efcb50255a06b097b8d5d29,2022-12-07T16:11:32.850Z,2022-12-07 16:11:32+00,548513,group_3,3,625173,en,nopints_ns,1,d2c459bac3ff5e303f49dd71c4a15cea,2022-12-07T15:52:15.492Z,2022-12-07 15:51:57+00,"",9,3,4.154867256637175,39.619181666912574
true,540293821d18b692452e2d427e0f386b,5b9aed646a11180001a8082e,2022-12-07T17:09:39.872Z,2022-12-07 17:09:39+00,548650,group_1,1,625320,en,orig_ns,1,b699b3efb96ac9f104d40aa335f491c0,2022-12-07T16:54:01.675Z,2022-12-07 16:53:53+00,"",29,11,1.3131868131868174,1.6626940135464654
true,a4100e1db872f9b9755ce34c6b950be8,60d332d15ea0b41e6603bba3,2022-12-07T17:08:40.156Z,2022-12-07 17:08:40+00,548631,group_2,2,625301,en,sil_ns,1,a6c34d57f69da335fb2b619e26ca0f9d,2022-12-07T16:52:56.696Z,2022-12-07 16:52:43+00,"",24,8,2.02873563218391,3.339812371561627
true,43f0843cdc635197f3e8a450bbf53c8e,5acca930a3ba7a0001b500fa,2022-12-07T17:08:03.640Z,2022-12-07 17:08:03+00,548632,group_1,1,625302,en,orig_ns,1,832b05b2e6610c442c4aa3a77c9e5669,2022-12-07T16:52:59.896Z,2022-12-07 16:52:51+00,"",11,5,3.3876404494382086,1.3413325777772407
true,75157d181c5953f3ec37fbc6656c847c,5e6473fbc15dbe1f71eea95b,2022-12-07T17:10:39.754Z,2022-12-07 12:10:39-05,548638,group_1,1,625308,en,orig_ns,1,2cdf234a2da6b2c0dc42672b8890fd91,2022-12-07T16:53:14.087Z,2022-12-07 11:52:39-05,"",19,8,3.731707317073173,1.5209815547686494
true,ea80524c4fa00b4615f5b9c9a8023a55,5efa358d3b02ed8465b9a726,2022-12-07T17:08:29.169Z,2022-12-07 17:08:29+00,548645,group_1,1,625315,en,orig_ns,1,62aa5a8b0d549492e356842f6d95d419,2022-12-07T16:53:32.238Z,2022-12-07 16:52:43+00,"",23,9,3.57714285714286,2.155005563703226
true,f2528e198ec318f841bd4c4ef640db21,5c61d9cd6f57a000014a8fc4,2022-12-07T17:08:56.370Z,2022-12-07 17:08:56+00,548652,group_1,1,625322,en,orig_ns,1,671ded94a9c9ea0b941edb8b42dd7016,2022-12-07T16:54:12.959Z,2022-12-07 16:54:08+00,"",32,12,1.0701754385964932,0.5469634129164875
true,2174c4e88eefdb637b77e69783018873,5e54309f0a98c705f68ae8a8,2022-12-07T17:10:19.731Z,2022-12-07 12:10:19-05,548627,group_2,2,625297,en,sil_ns,1,6b09179f656738988804581ed7ed6e07,2022-12-07T16:52:50.533Z,2022-12-07 11:52:39-05,"",36,11,4.241379310344826,1.144356640427919
true,8af6a25fb7702d2087f4e1776d12e41b,5e3891a0ffe78b000a8a4124,2022-12-07T17:07:21.822Z,2022-12-07 17:07:21+00,548628,group_1,1,625298,en,orig_ns,1,a001a7447350322f9e1d4c4b6fb48ca4,2022-12-07T16:52:53.430Z,2022-12-07 16:52:33+00,"",13,6,0.32352941176471006,0.5800906742151766
true,9a5d03d33cdf678f0b301650b48bdee3,5dd1ecdbb103ee2422c36429,2022-12-07T17:07:46.273Z,2022-12-07 17:07:46+00,548629,group_3,3,625299,en,nopints_ns,1,f2936d2a443f8da8355cde3d930f3c75,2022-12-07T16:52:53.593Z,2022-12-07 16:52:40+00,"",15,5,12.145348837209298,100.96624367622871
true,ae45c3ac3570967134625e6a76b1f439,592c46c1a03e4600010af25f,2022-12-07T17:05:42.875Z,2022-12-07 12:05:42-05,548630,group_3,3,625300,en,nopints_ns,1,63066ff5a09b8deaf573519b9ff12365,2022-12-07T16:52:55.087Z,2022-12-07 11:52:41-05,"",20,6,3.2291666666666714,1.6862135013758544
true,beb53bbe23e738c8c2bf4a75c7a27dd4,56b12c0e9f1826000cbcc76c,2022-12-07T17:10:29.715Z,2022-12-07 17:10:29+00,548633,group_1,1,625303,en,orig_ns,1,ed4a41ac772ff1468e06c964bff45801,2022-12-07T16:52:58.759Z,2022-12-07 16:52:47+00,"",26,10,3.19072164948453,1.410460367502108
true,8351badcdd6da45bcb119c6b44fe39cc,5bc690392885710001a0bb76,2022-12-07T17:09:53.367Z,2022-12-07 17:09:53+00,548634,group_3,3,625304,en,nopints_ns,1,8b661a1184f4f723f65563074c59d0cc,2022-12-07T16:53:14.443Z,2022-12-07 16:52:40+00,"",30,10,10.483516483516482,67.26033768125893
true,85d0af218d8761b087982527d9093a92,5c2ebf3e626018000134986f,2022-12-07T17:06:26.636Z,2022-12-07 17:06:26+00,548635,group_2,2,625305,en,sil_ns,1,5d4390e7a915c6eae4c519ce4904faac,2022-12-07T16:50:21.911Z,2022-12-07 16:49:58+00,"",14,4,3.0052631578947313,2.101371402882693
true,1fad93586c2b16926f65d9f9c7a587d1,637f7c9a658dbd7bcdd9e1ad,2022-12-07T17:09:52.645Z,2022-12-07 17:09:52+00,548636,group_2,2,625306,en,sil_ns,1,45aa91eaf8f04ee184f293f812c5afad,2022-12-07T16:53:10.304Z,2022-12-07 16:52:57+00,"",16,5,1.3112244897959187,1.083303964830083
true,d120ef4a5f07922f13c01c31afcb1fb7,629f2d6a8d790f69182e8b3e,2022-12-07T17:10:35.373Z,2022-12-07 17:10:35+00,548639,group_1,1,625309,en,orig_ns,1,5c462e9b1c324b7d2834fda05235a479,2022-12-07T16:53:24.186Z,2022-12-07 16:52:34+00,"",18,7,4.797029702970292,3.554858770796086
true,3587c5ddb00400b072dd8207a729baff,57655a2aea19ef00016351cf,2022-12-07T17:09:10.888Z,2022-12-07 17:09:10+00,548640,group_2,2,625310,en,sil_ns,1,e5a62dbf4d51e7607b320b93976215a8,2022-12-07T16:53:20.510Z,2022-12-07 16:52:35+00,"",17,6,8.989361702127653,66.00402867795447
true,8e750b07e630cba41e5969b451a7d405,57acee52bfa77b0001bf31d4,2022-12-07T17:05:44.682Z,2022-12-07 17:05:44+00,548642,group_3,3,625312,en,nopints_ns,1,aea427717099889d4c082078334e6be4,2022-12-07T16:53:24.181Z,2022-12-07 16:53:15+00,"",21,7,1.1118881118881063,1.177320028292862
true,dcb4e9c1362fcbb3db138eb0ed9ddfce,5e9d6cc45c16f00273b05f93,2022-12-07T17:23:28.710Z,2022-12-07 17:23:28+00,548644,group_2,2,625314,en,sil_ns,1,143cd8ebc4a91f5ef54f7a9af31dd156,2022-12-07T16:53:28.673Z,2022-12-07 16:53:12+00,"",33,10,472.8789808917197,447.402664933999
true,8ee033bf8c79e872b8db45586aba533d,5b52f4933234ab00014ca442,2022-12-07T17:08:34.755Z,2022-12-07 17:08:34+00,548647,group_3,3,625317,en,nopints_ns,1,49550b4f680fb66356c95abbb22d725e,2022-12-07T16:53:41.420Z,2022-12-07 16:52:38+00,"",31,11,39.57738095238096,185.99172719133648
true,3dc8fd5fdf0cee6521b111d20fca34d2,5cb988a6b3e70d0001715d79,2022-12-07T17:08:41.272Z,2022-12-07 17:08:41+00,548624,group_2,2,625293,en,sil_ns,1,03a516b408a6a12d10a46bacdc07dce3,2022-12-07T16:52:42.005Z,2022-12-07 16:52:27+00,"",22,7,0.8370786516853883,0.7354402522302074
true,cbb020338b123cf9c749908581e56a3a,5e595d3e28721a016d2474d8,2022-12-07T17:08:01.706Z,2022-12-07 17:08:01+00,548651,group_3,3,625321,en,nopints_ns,1,bff0fa52f401c62f9a962dd3f88a3575,2022-12-07T16:54:08.473Z,2022-12-07 16:52:46+00,"",28,9,3.3496932515337363,1.6708755367410248
true,1e3d4df1568bef613e57dcb30cdfc80f,614ee866eb22f6b60f499a91,2022-12-07T17:06:04.938Z,2022-12-07 17:06:04+00,548637,group_3,3,625307,en,nopints_ns,1,ade711e75d7acec68848521ea9e8f61f,2022-12-07T16:53:13.818Z,2022-12-07 16:52:38+00,"",27,8,4.200000000000003,1.077032961426901
true,05675ab6c060d622aa5a9f5516c4fc4f,601e028aea41df251254119a,2022-12-07T17:28:19.743Z,2022-12-07 17:28:19+00,548660,group_3,3,625330,en,nopints_ns,1,a9ea260f9b4c1c60a9be8877c1c57036,2022-12-07T16:56:03.219Z,2022-12-07 16:55:50+00,"",48,16,12.103703703703701,90.53906658937412
true,65bed669b89c24411b993e51fbb46516,5d31dc6e42678e001a0bdedd,2022-12-07T17:15:12.710Z,2022-12-07 17:15:12+00,548653,group_2,2,625323,en,sil_ns,1,a80aafb33bdc2a1d269e0e6056b2698f,2022-12-07T16:54:20.634Z,2022-12-07 16:53:13+00,"",42,15,3.289855072463766,2.167623752550057
true,43e664af7a0065ddc67ed14da29e7593,63337337be6252ad76e5f983,2022-12-07T17:14:47.786Z,2022-12-07 17:14:47+00,548656,group_2,2,625326,en,sil_ns,1,c441dd2e62d80f8e1a3044c4a9e93e40,2022-12-07T16:54:41.337Z,2022-12-07 16:53:09+00,"",39,14,3.7122641509433976,2.093845556205886
true,69955c0321cd054da105722aa14a17a6,57843b986475d400015a8e45,2022-12-07T17:09:53.334Z,2022-12-07 17:09:53+00,548658,group_1,1,625328,en,orig_ns,1,15a3dc755e285dad050929e357cc323f,2022-12-07T16:54:51.075Z,2022-12-07 16:54:43+00,"",35,14,3.4886363636363598,1.418179997085077
