Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
624868,1,1,sil_ns,1,instructions,1,"","",1,"","","","","","","","","","",60d9ce9737af4d27b6640d37,"","","","",""
624868,1,1,sil_ns,1,silence,2,"",engl310_01_sil.wav,1,engl310_01_sil,"","","","","","","","","","",1,1,"","",""
624868,2,2,sil_ns,1,silence,2,"",engl310_07_sil.wav,2,engl310_07_sil,"","","","","","","","","","",4,2,"","",""
624868,3,4,sil_ns,1,silence,2,"",engl310_24_sil.wav,4,engl310_24_sil,"","","","","","","","","","",1,4,"","",""
624868,4,3,sil_ns,1,silence,2,"",engl310_13_sil.wav,3,engl310_13_sil,"","","","","","","","","","",1,4,"","",""
624868,1,1,sil_ns,1,questionnaire,3,31,"",1,"","",4,uni,"",no,3,eng,no,5,"","","","",adv,none
624868,1,1,sil_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624871,1,1,nopints_ns,1,instructions,1,"","",1,"","","","","","","","","","",6123f0e37bc1548cd95a301f,"","","","",""
624871,1,4,nopints_ns,1,nopints,2,"",engl310_24_nopints.wav,4,"",engl310_24_nopints,"","","","","","","","","",2,4,"","",""
624871,2,1,nopints_ns,1,nopints,2,"",engl310_01_nopints.wav,1,"",engl310_01_nopints,"","","","","","","","","",1,1,"","",""
624871,3,2,nopints_ns,1,nopints,2,"",engl310_07_nopints.wav,2,"",engl310_07_nopints,"","","","","","","","","",4,2,"","",""
624871,4,3,nopints_ns,1,nopints,2,"",engl310_13_nopints.wav,3,"",engl310_13_nopints,"","","","","","","","","",1,4,"","",""
624871,1,1,nopints_ns,1,questionnaire,3,22,"",1,"","",4,hs,"",no,3,eng,no,3,"","","","",int,none
624871,1,1,nopints_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
624876,1,1,original_ns,1,instructions,1,"","",1,"","","","","","","","","","",60a0dad69b11b18f4344cb2,"","","","",""
624876,1,1,original_ns,1,original,2,"",engl310_01_orig.wav,1,"","","","",engl310_01_orig,"","","","","","",1,1,"","",""
624876,2,4,original_ns,1,original,2,"",engl310_24_orig.wav,4,"","","","",engl310_24_orig,"","","","","","",3,4,"","",""
624876,3,2,original_ns,1,original,2,"",engl310_07_orig.wav,2,"","","","",engl310_07_orig,"","","","","","",1,4,"","",""
624876,4,3,original_ns,1,original,2,"",engl310_13_orig.wav,3,"","","","",engl310_13_orig,"","","","","","",2,4,"","",""
624876,1,1,original_ns,1,questionnaire,3,44,"",1,"","",3,uni,"",no,3,eng,no,2,"","","","",int,none
624876,1,1,original_ns,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
